"Date";"Name / Description";"Account";"Counterparty";"Code";"Debit/credit";"Amount (EUR)";"Transaction type";"Notifications";"Resulting balance";"Tag"
"20230607";"Spar De Lsnge City LEIDEN NLD";"NL37INGB00000000";"";"BA";"Debit";"4.25";"Payment terminal";"Card sequence no.: 007 06/06/2023 13:17 Transaction: xxxxx Term: xxxxx Value date: 07/06/2023";"2383.38";""
"20230615";"Supermarket Groceries";"NL37INGB00000000";"Supermarket XYZ";"S-20230615";"Debit";"72.50";"Purchase";"Completed";"2310.88";""
"20230622";"Salary Payment";"NL37INGB00000000";"XYZ Company";"SAL-20230622";"Credit";"2500.00";"Income";"Received";"4810.88";""
"20230628";"ATM Withdrawal";"NL37INGB00000000";"ATM Machine";"ATM-20230628";"Debit";"100.00";"Withdrawal";"Completed";"4710.88";""
"20230701";"Restaurant Dinner";"NL37INGB00000000";"ABC Restaurant";"DIN-20230701";"Debit";"65.00";"Expense";"Completed";"4645.88";""
"20230702";"Online Purchase";"NL37INGB00000000";"E-commerce Store";"ORD-20230707";"Debit";"45.99";"Expense";"Completed";"4599.89";""
"20230702";"Transfer to Savings";"NL37INGB00000000";"Savings Account";"TRF-20230712";"Debit";"500.00";"Transfer";"Completed";"4099.89";""
"20230702";"Phone Bill Payment";"NL37INGB00000000";"XYZ Telco";"BIL-20230719";"Debit";"35.00";"Expense";"Completed";"4064.89";""
"20230703";"Deposit";"NL37INGB00000000";"Personal Deposit";"DEP-20230725";"Credit";"300.00";"Income";"Received";"4364.89";""
"20230703";"Electricity Bill Payment";"NL37INGB00000000";"Utility Company";"BIL-20230731";"Debit";"50.00";"Expense";"Completed";"4314.89";""
"20230503";"Whacky Gadgets";"NL37INGB00000000";"Gadget Store";"GAD-20230503";"Debit";"29.99";"Expense";"Completed";"4097.46";""
"20230507";"Jungle Safari";"NL37INGB00000000";"Toy Store";"SAF-20230507";"Debit";"18.50";"Expense";"Completed";"4078.96";""
"20230512";"Magic Beans";"NL37INGB00000000";"Garden Store";"BEA-20230512";"Debit";"7.99";"Expense";"Completed";"4070.97";""
"20230515";"Pirate's Treasure";"NL37INGB00000000";"Gift Shop";"TRE-20230515";"Debit";"12.25";"Expense";"Completed";"4058.72";""
"20230520";"Funky Hair Accessories";"NL37INGB00000000";"Accessories Store";"HAIR-20230520";"Debit";"6.50";"Expense";"Completed";"4052.22";""
"20230523";"Silly Putty";"NL37INGB00000000";"Toy Store";"PUT-20230523";"Debit";"3.99";"Expense";"Completed";"4048.23";""
"20230528";"Crazy Costumes";"NL37INGB00000000";"Party Store";"COS-20230528";"Debit";"15.99";"Expense";"Completed";"4032.24";""
